Study_ID,Climate,Soil_Texture,Initial_EC_dSm,Initial_pH,Crop,Cropping_System,Duration_years,Irrigation_Type,Fertilizer,Outcome,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
(Wang et al. 2024b),Arid,Sandy loam,0.94,8.87,Cotton,Monoculture,1,Drip,Control,Yield,0.68,0.08,3,0.7,0.11,3
(Zhou et al. 2024),Arid,Silt loam,0.69,9.85,Phragmites australis,Monoculture,NA,NA,Control,Yield,1.05,0.05,6,0.54,0.06,6
(Huang et al. 2024b),Subtropical,Clay,NA,7.72,Rice,Monoculture,3,Flood,Straw,Yield,6.4126,0.1184,3,6.1001,0.1565,3
(Liu et al. 2024b),Arid,Silt loam,2.02,7.8,Barley,Monoculture,1,Flood,Straw,Yield,5.10214,0.32997,3,4.89554,0.10142,3
(Dou et al. 2024a),Arid,Sandy clay loam,62.3,7.5,NA,NA,3,Drip,Control,Yield,0.72,0.06,9,0.33,0.04,9
(Guo et al. 2025a),Temperate,Loam,NA,NA,Potato,Monoculture,2,NA,Biochar Only,Yield,52.5,1.5,3,42.5,1.5,3
(Chu et al. 2025),Temperate,Loam,22.44,7.92,Salix matsudana,Monoculture,1.5,Drip,Control,Yield,9.75,0.22,3,9.05,0.12,3
(Zhu et al. 2025),Subtropical,NA,NA,4.1,Sugarcane,Monoculture,2,NA,NPK,Yield,0.12748,0.00235,2,0.11372,0.00414,2
(Liu et al. 2025a),Subtropical,NA,NA,NA,Rice,Monoculture,1,Subsurface drainage,Control,Yield,25.58,2.27,3,0.9,0.05,3
(Li et al. 2021b),NA,Clay,NA,8.28,Wheat,Monoculture,NA,NA,Farmyard Manure,Yield,2.8,0.1,3,1.6,0.1,3
(Li et al. 2021b),NA,Clay,23.91,9.64,Rice,Monoculture,NA,NA,Biochar Only,Yield,16.6,0.32,3,6.11,0.19,3
(Sun et al. 2021),NA,NA,NA,6.84,Maize,Monoculture,2,NA,Straw + Manure,Yield,14.25,0.25,3,10.8,0.25,3
(Zhang et al. 2022a),Temperate,NA,1.5,6.83,NA,NA,NA,NA,Biochar Compost,Yield,0.02,0.002,3,0.35,0.01,3
(Cui et al. 2022b),Semi-arid,NA,NA,7.21,Alfalfa,Monoculture,NA,Drip,Biochar + EM,Yield,39,2.2,5,17,1.3,5
